,2_pointers,2_pointers_attempted,2pt_percentage,3_pointers,3_pointers_attempted,3pt_percentage,assists,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,field_goals_attempted,free_throw_percentage,free_throws,free_throws_attempted,games,games_start,minutes_played,name,offensive_rebounds,personal_fouls,points,steals,total_rebounds,turnovers
21,3.0,6.7,.441,0.6,1.7,.323,4.4,0.5,2.9,.450,.417,3.5,8.4,.723,1.0,1.4,176,94,24.1,Kris Dunn,0.4,2.9,8.6,1.4,3.3,1.9
22,3.8,7.7,.488,2.2,6.1,.362,1.3,0.6,6.9,.512,.432,6.0,13.8,.859,2.6,3.0,120,119,30.9,Lauri Markkanen,1.3,1.9,16.7,0.6,8.2,1.4
23,1.8,3.2,.576,0.0,0.0,.000,0.7,0.2,2.6,.568,.568,1.8,3.2,.670,0.9,1.3,212,20,14.5,Cristiano Felício,1.5,1.5,4.6,0.3,4.1,0.6
24,3.0,5.6,.529,1.3,3.3,.405,1.5,0.4,3.8,.558,.483,4.3,8.8,.793,1.1,1.4,399,286,26.9,Otto Porter,1.2,1.8,11.0,1.2,5.0,0.8
25,1.9,3.6,.516,0.3,1.1,.280,0.8,0.1,3.5,.493,.459,2.2,4.8,.605,0.5,0.9,44,14,20.3,Chandler Hutchison,0.7,1.3,5.2,0.5,4.2,0.6
26,4.0,7.7,.513,0.1,0.7,.188,1.8,1.3,5.0,.493,.485,4.1,8.4,.795,2.0,2.5,44,44,25.2,Wendell Carter Jr.,2.0,3.5,10.3,0.6,7.0,1.5
27,4.3,8.9,.481,1.6,4.2,.373,3.5,0.2,3.0,.506,.446,5.8,13.1,.824,2.8,3.4,293,206,29.9,Zach LaVine,0.4,2.2,16.1,0.8,3.4,2.4
28,2.2,5.2,.424,0.7,1.9,.357,0.8,0.1,1.7,.454,.406,2.9,7.1,.696,1.1,1.5,76,3,15.0,Antonio Blakeney,0.1,0.8,7.5,0.3,1.8,0.6
29,1.9,3.6,.524,0.6,1.4,.400,3.7,0.2,2.0,.546,.489,2.5,5.1,.792,1.1,1.4,210,87,21.6,Tomáš Satoranský,0.9,1.7,6.6,0.8,2.8,1.1
30,5.3,10.1,.524,0.5,1.4,.329,1.7,0.4,4.0,.521,.501,5.8,11.5,.673,1.4,2.1,901,671,30.7,Thaddeus Young,2.0,2.2,13.4,1.5,6.0,1.4
