,2_pointers,2_pointers_attempted,2pt_percentage,3_pointers,3_pointers_attempted,3pt_percentage,age,assists,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,field_goals_attempted,free_throw_percentage,free_throws,free_throws_attempted,games,games_start,minutes_played,name,offensive_rebounds,personal_fouls,points,position,season,steals,team,total_rebounds,turnovers
146,1.9,4.3,.437,2.2,5.8,.372,32,2.3,0.2,2.0,.507,.400,4.0,10.1,.810,1.9,2.4,69,68,30.3,Wesley Matthews,0.5,2.3,12.2,SF-SG,2018-19,0.8,traded,2.5,1.3
147,1.5,1.5,1.000,0.0,0.5,.000,23,0.0,0.0,0.5,.750,.750,1.5,2.0,,0.0,0.0,2,0,3.0,Thanasis Antetokounmpo,0.0,1.0,3.0,SF,2015-16,0.0,NYK,0.5,0.0
148,3.9,7.5,.511,0.2,0.5,.372,27,1.9,1.2,5.6,.514,.502,4.0,8.1,.814,1.7,2.0,82,82,32.4,Gorgui Dieng,2.3,3.1,10.0,PF,2016-17,1.1,MIN,7.9,1.3
149,2.1,4.1,.511,0.2,0.8,.311,28,0.9,0.5,3.2,.504,.479,2.4,4.9,.775,1.0,1.3,79,0,16.9,Gorgui Dieng,1.3,1.9,5.9,C,2017-18,0.6,MIN,4.6,0.7
150,2.2,4.2,.530,0.3,0.7,.339,29,0.9,0.5,3.0,.527,.501,2.5,5.0,.830,1.2,1.4,76,2,13.6,Gorgui Dieng,1.1,1.8,6.4,C,2018-19,0.6,MIN,4.1,0.8
151,3.8,8.0,.475,1.1,3.1,.357,28,7.8,0.4,3.6,.492,.442,4.9,11.1,.867,4.4,5.1,82,82,32.4,Jeff Teague,0.4,2.0,15.3,PG,2016-17,1.2,IND,4.0,2.6
152,3.9,8.1,.477,1.2,3.3,.368,29,7.0,0.3,2.6,.499,.446,5.1,11.3,.845,2.9,3.4,70,70,33.0,Jeff Teague,0.3,2.4,14.2,PG,2017-18,1.5,MIN,3.0,2.5
153,3.4,7.4,.453,0.8,2.5,.333,30,8.2,0.4,2.1,.465,.423,4.2,9.9,.804,2.9,3.6,42,41,30.1,Jeff Teague,0.4,2.1,12.1,PG,2018-19,1.0,MIN,2.5,2.3
154,7.4,15.6,.473,1.3,3.5,.356,21,2.3,0.4,2.8,.484,.452,8.6,19.1,.760,5.0,6.6,82,82,37.2,Andrew Wiggins,1.2,2.2,23.6,SF,2016-17,1.0,MIN,4.0,2.3
155,5.6,11.7,.475,1.4,4.1,.331,22,2.0,0.6,3.4,.481,.438,6.9,15.9,.643,2.5,3.8,82,82,36.3,Andrew Wiggins,1.0,2.0,17.7,SF,2017-18,1.1,MIN,4.4,1.7
156,5.2,11.8,.441,1.6,4.8,.339,23,2.5,0.7,3.7,.461,.412,6.8,16.6,.699,2.8,4.1,73,73,34.8,Andrew Wiggins,1.1,2.1,18.1,SF,2018-19,1.0,MIN,4.8,1.9
157,2.3,4.8,.484,2.0,6.1,.333,26,1.5,1.0,5.1,.492,.399,4.4,10.9,.822,2.1,2.6,67,67,31.6,Robert Covington,1.4,3.0,12.9,SF,2016-17,1.9,PHI,6.5,2.0
158,1.8,3.6,.497,2.5,6.9,.369,27,2.0,0.9,4.7,.534,.413,4.3,10.5,.853,1.5,1.7,80,80,31.7,Robert Covington,0.7,3.0,12.6,SF,2017-18,1.7,PHI,5.4,1.6
159,2.0,3.9,.518,2.4,6.4,.378,28,1.3,1.3,4.7,.548,.431,4.5,10.3,.764,1.9,2.5,35,35,34.4,Robert Covington,0.8,3.6,13.3,SF,2018-19,2.1,traded,5.5,1.3
160,1.8,4.0,.464,0.8,2.9,.279,20,1.2,0.4,2.4,.445,.386,2.6,6.9,.728,1.6,2.2,74,52,23.7,Josh Okogie,0.6,2.2,7.7,SG,2018-19,1.2,MIN,2.9,0.9
161,1.6,3.0,.522,0.4,1.7,.250,23,0.6,0.5,2.2,.468,.423,2.0,4.7,.643,0.6,0.9,30,3,16.8,Keita Bates-Diop,0.5,1.0,5.0,SF,2018-19,0.6,MIN,2.8,0.5
162,0.7,1.7,.429,0.6,1.7,.370,25,1.3,0.0,1.0,.492,.399,1.4,3.5,.776,0.7,0.9,53,2,9.7,Shabazz Napier,0.2,0.7,4.1,PG,2016-17,0.6,POR,1.2,0.8
163,1.9,4.2,.450,1.1,2.9,.376,26,2.0,0.2,1.9,.497,.420,3.0,7.2,.841,1.6,1.9,74,10,20.7,Shabazz Napier,0.4,1.1,8.7,PG,2017-18,1.1,POR,2.3,1.2
164,1.7,3.7,.449,1.4,4.1,.333,27,2.6,0.3,1.5,.476,.389,3.0,7.8,.833,2.1,2.5,56,2,17.6,Shabazz Napier,0.3,1.2,9.4,PG,2018-19,0.7,BRK,1.8,1.2
165,0.4,0.9,.400,0.3,0.6,.600,23,0.2,0.0,0.6,.588,.475,0.7,1.5,.667,0.4,0.6,27,1,7.0,Treveon Graham,0.2,0.7,2.1,SG,2016-17,0.2,CHO,0.8,0.1
166,0.9,2.0,.452,0.6,1.5,.412,24,0.9,0.0,1.3,.525,.434,1.5,3.5,.695,0.7,0.9,63,2,16.7,Treveon Graham,0.7,1.7,4.3,SG,2017-18,0.5,CHO,1.9,0.4
167,0.7,1.8,.413,1.1,3.7,.297,25,1.0,0.2,2.4,.435,.335,1.8,5.5,.818,0.5,0.6,35,21,20.4,Treveon Graham,0.7,1.9,5.3,SG,2018-19,0.4,BRK,3.1,0.5
168,8.5,14.7,.582,1.2,3.4,.367,21,2.7,1.3,8.7,.576,.542,9.8,18.0,.832,4.3,5.2,82,82,37.0,Karl-Anthony Towns,3.6,2.9,25.1,C,2016-17,0.7,MIN,12.3,2.6
169,6.3,10.8,.585,1.5,3.5,.421,22,2.4,1.4,9.4,.596,.545,7.8,14.3,.858,4.2,4.9,82,82,35.6,Karl-Anthony Towns,2.9,3.5,21.3,C,2017-18,0.8,MIN,12.3,1.9
170,7.0,12.5,.562,1.8,4.6,.400,23,3.4,1.6,9.0,.572,.518,8.8,17.1,.836,4.9,5.8,77,77,33.1,Karl-Anthony Towns,3.4,3.8,24.4,C,2018-19,0.9,MIN,12.4,3.1
171,0.4,1.1,.342,0.4,1.5,.255,22,0.3,0.1,0.5,.365,.292,0.7,2.5,.765,0.4,0.5,35,1,7.1,Jake Layman,0.2,0.6,2.2,SF,2016-17,0.3,POR,0.7,0.3
172,0.3,0.8,.370,0.1,0.6,.200,23,0.3,0.1,0.3,.340,.298,0.4,1.3,.667,0.1,0.1,35,1,4.6,Jake Layman,0.1,0.4,1.0,SF,2017-18,0.2,POR,0.5,0.1
173,2.2,3.4,.646,0.8,2.5,.326,24,0.7,0.4,2.3,.579,.509,3.0,6.0,.704,0.7,1.0,71,33,18.7,Jake Layman,0.8,1.6,7.6,SF,2018-19,0.4,POR,3.1,0.6
174,3.3,6.9,.483,0.3,1.3,.250,23,2.4,0.4,2.8,.466,.445,3.7,8.2,.782,2.0,2.6,30,19,28.4,Tyrone Wallace,0.7,2.8,9.7,PG,2017-18,0.9,LAC,3.5,1.5
175,1.4,3.2,.444,0.1,0.3,.211,24,0.7,0.1,1.3,.433,.424,1.5,3.5,.526,0.5,0.9,62,0,10.1,Tyrone Wallace,0.3,1.3,3.5,PG,2018-19,0.3,LAC,1.6,0.6
176,1.7,3.4,.492,0.1,0.3,.350,21,0.4,0.4,3.5,.494,.481,1.8,3.6,.638,0.8,1.3,74,41,17.1,Noah Vonleh,1.8,2.1,4.4,PF,2016-17,0.4,POR,5.2,0.9
177,1.6,3.1,.500,0.4,1.2,.303,22,0.6,0.3,4.5,.487,.444,1.9,4.3,.621,0.7,1.1,54,16,16.2,Noah Vonleh,1.3,1.3,4.9,PF,2017-18,0.4,traded,5.8,0.6
178,2.4,4.5,.531,0.7,2.0,.336,23,1.9,0.8,6.1,.523,.470,3.0,6.5,.712,1.6,2.3,68,57,25.3,Noah Vonleh,1.7,2.6,8.4,PF,2018-19,0.7,NYK,7.8,1.3
179,1.7,4.4,.385,0.6,2.0,.318,19,3.2,0.2,1.8,.414,.364,2.3,6.4,.721,0.6,0.9,78,9,21.9,Frank Ntilikina,0.5,2.3,5.9,PG,2017-18,0.8,NYK,2.3,1.7
180,1.4,3.9,.371,0.8,2.7,.287,20,2.8,0.3,1.7,.395,.337,2.2,6.6,.767,0.5,0.7,43,16,21.0,Frank Ntilikina,0.3,2.4,5.7,PG,2018-19,0.7,NYK,2.0,1.3
181,4.3,9.9,.435,1.5,4.9,.313,20,5.2,0.3,3.0,.446,.395,5.9,14.8,.694,1.9,2.8,69,69,29.7,Dennis Smith Jr.,0.7,2.2,15.2,PG,2017-18,1.0,DAL,3.8,2.8
182,4.0,8.3,.477,1.3,3.9,.322,21,4.8,0.4,2.3,.479,.428,5.2,12.3,.635,1.9,2.9,53,50,28.5,Dennis Smith Jr.,0.6,2.4,13.6,PG,2018-19,1.3,traded,2.9,2.9
183,1.1,2.1,.538,0.5,1.5,.324,23,0.7,0.0,1.7,.516,.447,1.6,3.7,.696,0.4,0.5,44,2,10.8,Damyean Dotson,0.2,0.8,4.1,SG,2017-18,0.3,NYK,1.9,0.4
184,2.2,4.9,.461,1.7,4.7,.368,24,1.8,0.1,3.1,.506,.415,4.0,9.6,.745,1.0,1.3,73,40,27.5,Damyean Dotson,0.5,1.8,10.7,SG,2018-19,0.8,NYK,3.6,1.0
185,2.8,7.3,.387,1.7,4.9,.343,19,1.1,0.3,3.7,.438,.370,4.5,12.2,.717,2.2,3.0,75,57,28.8,Kevin Knox,0.8,2.3,12.8,PF,2018-19,0.6,NYK,4.5,1.5
186,3.1,4.4,.694,0.0,0.0,0,20,0.6,2.4,3.7,.694,.694,3.1,4.4,.600,1.2,2.0,66,19,20.6,Mitchell Robinson,2.7,3.3,7.3,C,2018-19,0.8,NYK,6.4,0.5
187,2.8,6.0,.466,0.8,2.1,.394,23,1.9,0.2,2.6,.498,.448,3.6,8.1,.803,2.8,3.5,64,3,22.8,Allonzo Trier,0.5,1.8,10.9,SG,2018-19,0.4,NYK,3.1,1.8
188,0.3,0.6,.545,0.0,0.6,.000,25,0.7,0.1,0.4,.273,.273,0.3,1.2,.778,0.4,0.5,18,1,5.9,Kadeem Allen,0.2,0.8,1.1,PG,2017-18,0.2,BOS,0.6,0.5
189,2.5,5.5,.457,0.9,1.9,.472,26,4.0,0.2,2.3,.521,.461,3.4,7.4,.778,2.2,2.8,19,1,21.9,Kadeem Allen,0.4,2.4,9.9,SG,2018-19,0.8,NYK,2.7,1.4
190,4.9,9.6,.507,0.2,0.9,.270,22,3.6,0.5,6.6,.499,.488,5.1,10.4,.723,2.8,3.8,74,73,28.8,Julius Randle,2.0,3.4,13.2,PF,2016-17,0.7,LAL,8.6,2.3
191,6.0,10.5,.575,0.1,0.5,.222,23,2.6,0.5,5.8,.563,.558,6.1,11.0,.718,3.7,5.2,82,49,26.7,Julius Randle,2.2,3.3,16.1,C,2017-18,0.5,LAL,8.0,2.6
192,6.9,12.2,.564,0.9,2.7,.344,24,3.1,0.6,6.5,.555,.524,7.8,14.9,.731,4.9,6.7,73,49,30.6,Julius Randle,2.2,3.4,21.4,PF,2018-19,0.7,NOP,8.7,2.8
193,4.6,8.9,.520,0.0,0.2,.231,31,0.9,0.8,4.2,.517,.515,4.7,9.1,.715,1.4,2.0,78,71,25.5,Taj Gibson,2.0,2.1,10.8,PF,2016-17,0.5,traded,6.2,1.3
194,5.1,8.6,.595,0.1,0.4,.200,32,1.2,0.7,4.8,.581,.577,5.2,9.0,.768,1.7,2.3,82,82,33.2,Taj Gibson,2.4,2.7,12.2,PF,2017-18,0.8,MIN,7.1,1.1
195,4.2,7.2,.583,0.2,0.5,.324,33,1.2,0.6,4.1,.576,.566,4.3,7.7,.757,1.9,2.5,70,57,24.1,Taj Gibson,2.5,2.7,10.8,PF,2018-19,0.8,MIN,6.5,1.0
196,2.4,4.4,.541,0.5,1.5,.333,21,0.5,0.2,3.5,.531,.488,2.9,5.9,.661,0.6,0.9,64,13,15.6,Bobby Portis,1.2,1.5,6.8,PF,2016-17,0.3,CHI,4.6,0.6
197,4.1,8.1,.514,1.1,3.1,.359,22,1.7,0.3,4.6,.520,.471,5.2,11.1,.769,1.6,2.1,73,4,22.5,Bobby Portis,2.2,1.8,13.2,PF,2017-18,0.7,CHI,6.8,1.4
198,4.1,8.7,.467,1.5,3.8,.393,23,1.4,0.4,5.9,.504,.444,5.6,12.6,.794,1.5,1.9,50,28,26.0,Bobby Portis,2.2,2.9,14.2,PF,2018-19,0.7,traded,8.1,1.5
199,1.3,2.6,.509,2.4,6.4,.378,29,1.1,0.1,1.8,.550,.416,3.7,9.0,.860,0.6,0.7,62,13,24.2,Wayne Ellington,0.3,1.1,10.5,SG,2016-17,0.6,MIA,2.1,0.5
200,0.8,1.6,.479,2.9,7.5,.392,30,1.0,0.1,2.5,.569,.407,3.7,9.1,.859,0.9,1.0,77,2,26.5,Wayne Ellington,0.3,1.2,11.2,SG,2017-18,0.7,MIA,2.8,0.7
201,0.9,1.6,.541,2.6,7.0,.371,31,1.4,0.1,1.8,.554,.403,3.5,8.6,.796,0.7,0.9,53,38,24.5,Wayne Ellington,0.3,1.7,10.3,SG,2018-19,1.0,traded,2.0,0.8
202,4.8,9.3,.509,0.5,1.8,.274,22,6.5,0.5,3.6,.493,.471,5.2,11.1,.692,1.8,2.6,82,58,29.4,Elfrid Payton,1.1,2.2,12.8,PG,2016-17,1.1,ORL,4.7,2.2
