exp,name,pos,slug,team
8,Ricky Rubio,G,/players/r/rubiori01.html,Phoenix Suns
4,Kelly Oubre Jr.,F,/players/o/oubreke01.html,Phoenix Suns
4,Frank Kaminsky,F-C,/players/k/kaminfr01.html,Phoenix Suns
7,Damian Lillard,G,/players/l/lillada01.html,Portland Trail Blazers
6,CJ McCollum,G,/players/m/mccolcj01.html,Portland Trail Blazers
7,Kent Bazemore,G-F,/players/b/bazemke01.html,Portland Trail Blazers
7,Hassan Whiteside,C,/players/w/whiteha01.html,Portland Trail Blazers
3,Skal Labissière,F,/players/l/labissk01.html,Portland Trail Blazers
2,Zach Collins,C-F,/players/c/colliza01.html,Portland Trail Blazers
1,Anfernee Simons,G,/players/s/simonan01.html,Portland Trail Blazers
5,Jusuf Nurkić,C,/players/n/nurkiju01.html,Portland Trail Blazers
1,Gary Trent Jr.,G,/players/t/trentga02.html,Portland Trail Blazers
11,Anthony Tolliver,F-C,/players/t/tollian01.html,Portland Trail Blazers
4,Mario Hezonja,F-G,/players/h/hezonma01.html,Portland Trail Blazers
5,Rodney Hood,G-F,/players/h/hoodro01.html,Portland Trail Blazers
5,Rodney Hood,G-F,/players/h/hoodro01.html,Portland Trail Blazers
3,Buddy Hield,G,/players/h/hieldbu01.html,Sacramento Kings
2,Caleb Swanigan,F,/players/s/swanica01.html,Sacramento Kings
1,Harry Giles,F-C,/players/g/gilesha01.html,Sacramento Kings
2,De'Aaron Fox,G,/players/f/foxde01.html,Sacramento Kings
2,Bogdan Bogdanović,G,/players/b/bogdabo01.html,Sacramento Kings
1,Marvin Bagley III,F,/players/b/baglema01.html,Sacramento Kings
4,Nemanja Bjelica,F,/players/b/bjeline01.html,Sacramento Kings
3,Yogi Ferrell,G,/players/f/ferreyo01.html,Sacramento Kings
1,B.J. Johnson,G,/players/j/johnsbj01.html,Sacramento Kings
8,Cory Joseph,G,/players/j/josepco01.html,Sacramento Kings
15,Trevor Ariza,F,/players/a/arizatr01.html,Sacramento Kings
7,Harrison Barnes,F,/players/b/barneha02.html,Sacramento Kings
6,Dewayne Dedmon,C,/players/d/dedmode01.html,Sacramento Kings
4,Richaun Holmes,F-C,/players/h/holmeri01.html,Sacramento Kings
2,Tyler Lydon,F,/players/l/lydonty01.html,Sacramento Kings
2,Dejounte Murray,G,/players/m/murrade01.html,San Antonio Spurs
10,DeMar DeRozan,G-F,/players/d/derozde01.html,San Antonio Spurs
3,Jakob Pöltl,C,/players/p/poeltja01.html,San Antonio Spurs
2,Derrick White,G,/players/w/whitede01.html,San Antonio Spurs
10,Patty Mills,G,/players/m/millspa02.html,San Antonio Spurs
13,LaMarcus Aldridge,F-C,/players/a/aldrila01.html,San Antonio Spurs
1,Lonnie Walker,G,/players/w/walkelo01.html,San Antonio Spurs
12,Marco Belinelli,G-F,/players/b/belinma01.html,San Antonio Spurs
3,Bryn Forbes,G,/players/f/forbebr01.html,San Antonio Spurs
1,Chimezie Metu,F,/players/m/metuch01.html,San Antonio Spurs
1,Drew Eubanks,F,/players/e/eubandr01.html,San Antonio Spurs
10,DeMarre Carroll,F,/players/c/carrode01.html,San Antonio Spurs
13,Rudy Gay,F,/players/g/gayru01.html,San Antonio Spurs
4,Trey Lyles,F,/players/l/lylestr01.html,San Antonio Spurs
11,Marc Gasol,C,/players/g/gasolma01.html,Toronto Raptors
3,Pascal Siakam,F,/players/s/siakapa01.html,Toronto Raptors
2,OG Anunoby,F,/players/a/anunoog01.html,Toronto Raptors
13,Kyle Lowry,G,/players/l/lowryky01.html,Toronto Raptors
10,Serge Ibaka,F-C,/players/i/ibakase01.html,Toronto Raptors
